213,
0,1,
2,3,
4,5,
6,7,
8,9,
10,11,
12,13,
14,15,
16,17,
18,19,
20,21,
22,23,
10,24,
25,26,
27,28,
27,29,
28,30,
31,32,
33,26,
34,35,
36,37,
38,5,
15,39,
40,41,
42,32,
43,44,
45,46,
47,48,
49,50,
51,17,
52,53,
54,55,
56,41,
49,57,
45,58,
59,60,
23,29,
61,62,
4,63,
21,31,
24,64,
53,65,
66,41,
32,67,
68,45,
11,69,
70,71,
72,73,
74,1,
63,75,
76,57,
77,78,
63,79,
80,45,
81,41,
82,83,
84,36,
80,85,
86,35,
56,73,
76,87,
33,88,
89,54,
51,64,
26,74,
16,90,
91,19,
1,40,
37,86,
28,92,
93,94,
52,66,
17,94,
95,19,
52,96,
97,98,
99,26,
11,73,
100,101,
102,103,
69,104,
105,101,
23,106,
52,1,
15,107,
102,77,
50,24,
1,108,
102,85,
109,110,
1,111,
112,53,
113,81,
3,76,
107,62,
114,109,
115,77,
116,99,
117,118,
47,90,
119,74,
43,24,
120,91,
121,122,
60,38,
89,123,
124,125,
83,6,
126,74,
127,118,
115,39,
8,128,
110,48,
129,130,
131,125,
82,59,
29,43,
105,11,
4,59,
45,9,
132,26,
1,133,
45,134,
71,15,
74,130,
135,94,
136,137,
138,25,
139,140,
75,141,
22,43,
9,91,
142,9,
12,93,
67,29,
143,144,
74,76,
141,90,
145,16,
23,44,
74,100,
145,146,
138,117,
122,6,
147,148,
20,149,
78,150,
27,55,
114,22,
102,117,
1,68,
48,12,
6,14,
151,126,
78,152,
82,3,
4,147,
114,153,
16,154,
153,155,
57,20,
102,156,
122,102,
78,43,
84,50,
52,141,
108,157,
61,123,
45,7,
64,158,
159,139,
95,17,
34,30,
50,123,
132,141,
16,35,
135,160,
59,136,
26,41,
160,161,
68,162,
63,93,
44,64,
1,142,
135,8,
98,77,
96,26,
71,76,
142,57,
103,160,
41,150,
160,98,
93,96,
23,112,
69,83,
114,163,
34,23,
8,47,
159,118,
52,164,
136,102,
72,164,
108,122,
165,166,
25,7,
23,61,
105,50,
102,167,
88,135,
9,168,
110,59,
60,7,
126,150,
169,167,
89,18,
159,32,
149,130,
98,143,
157,36,
18,20,
30,94,
45,55,
4,163,
140,39,
76,150,
26,71,
83,163,
29,86,
124,44,
72,115,
28,84,
89,95,
126,106,
20,0,
53,19,
94,170,
77,86,
89,113,
75,34,
52,33,
20,118,
111,59,
84,111,
103,155,
89,160,
153,171,
29,135,
133,155,
107,172,
48,167,
71,91,
14,72,
145,17,
143,160,
117,2,
137,96,
173,16,
173,74,
51,93,
165,169,
3,174,
21,93,
105,98,
166,71,
71,175,
134,36,
62,10,
81,53,
57,10,
14,8,
142,118,
114,18,
108,142,
156,168,
95,66,
145,176,
69,63,
145,118,
155,139,
160,80,
53,117,
9,25,
134,168,
125,170,
29,155,
47,84,
76,130,
76,20,
15,149,
159,72,
20,131,
61,77,
52,20,
3,33,
45,35,
53,96,
156,100,
177,178,
47,146,
36,161,
36,8,
14,92,
57,131,
74,48,
141,67,
122,37,
85,146,
82,139,
33,167,
179,138,
28,4,
180,114,
28,103,
38,148,
3,66,
82,96,
4,181,
95,102,
132,24,
107,41,
33,119,
82,180,
182,183,
16,117,
145,13,
76,135,
148,155,
124,66,
143,21,
118,4,
129,96,
18,66,
184,176,
170,41,
65,130,
175,16,
141,78,
170,69,
185,126,
143,102,
104,155,
161,11,
62,76,
57,186,
168,152,
88,5,
21,114,
89,55,
32,110,
100,141,
21,48,
25,46,
12,16,
93,43,
168,85,
67,140,
179,105,
66,165,
77,43,
15,65,
142,103,
14,116,
11,113,
111,168,
118,100,
63,96,
138,148,
156,187,
65,30,
2,118,
78,125,
111,113,
5,168,
52,72,
88,75,
173,40,
83,68,
16,43,
163,114,
73,12,
141,34,
15,128,
42,25,
131,132,
25,92,
148,141,
76,12,
25,188,
165,16,
82,140,
21,13,
10,57,
27,15,
102,189,
15,7,
99,78,
67,136,
159,69,
104,2,
86,57,
110,168,
157,61,
66,130,
159,168,
27,101,
183,171,
132,10,
104,63,
179,86,
57,166,
180,64,
34,6,
80,79,
108,4,
82,122,
190,174,
95,24,
108,149,
39,189,
100,160,
60,154,
142,104,
180,191,
70,88,
168,4,
55,170,
179,72,
171,192,
28,26,
7,2,
61,22,
45,104,
6,4,
193,16,
130,106,
74,37,
145,99,
108,74,
124,115,
2,86,
194,195,
84,15,
120,122,
120,89,
56,2,
82,131,
152,196,
11,107,
73,49,
173,114,
95,187,
143,151,
130,26,
63,28,
102,78,
109,197,
83,103,
179,52,
69,57,
20,11,
156,51,
77,198,
36,82,
96,24,
30,180,
61,72,
108,22,
118,142,
199,82,
10,8,
60,80,
108,39,
69,37,
119,155,
99,126,
120,13,
8,119,
127,61,
156,70,
72,123,
29,142,
23,108,
7,170,
4,118,
65,17,
22,140,
125,118,
4,116,
176,152,
2,131,
93,90,
20,115,
180,63,
2,76,
141,84,
10,160,
14,125,
6,48,
60,77,
59,108,
17,91,
27,200,
113,24,
71,110,
145,135,
65,154,
103,126,
137,146,
82,145,
53,5,
61,201,
95,96,
33,139,
10,3,
9,16,
22,54,
133,28,
166,11,
66,186,
69,149,
108,103,
148,96,
184,12,
93,67,
10,22,
31,10,
13,61,
23,181,
66,198,
60,114,
113,143,
14,140,
97,18,
142,54,
